City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,ghanzi,-21.5667,21.7833,60.71,44,0,6.53,BW,1690058640
271,mao,39.8885,4.2658,79.36,69,0,5.75,ES,1690058640
272,saynshand,44.8824,110.1163,67.39,61,6,13.04,MN,1690058641
273,laguna,38.421,-121.4238,106.32,27,0,4.61,US,1690058641
274,lucapa,-8.4192,20.7447,78.3,23,53,3.83,AO,1690058605
275,manokwari,-0.8667,134.0833,77.43,82,57,5.39,ID,1690058642
276,yanqul,23.5905,56.5501,91.11,45,99,0.89,OM,1690058643
277,tual,-5.6667,132.75,79.34,75,19,20.42,ID,1690058643
278,toliara,-23.35,43.6667,66.18,84,0,2.91,MG,1690058644
279,monchegorsk,67.9397,32.8739,48.13,89,99,7.96,RU,1690058644
280,port pirie,-33.1833,138.0167,48.11,79,68,7.43,AU,1690058645
281,bethanie,-26.4833,17.15,55.18,15,82,4.99,NA,1690058645
282,enewetak,11.3474,162.3373,82.85,78,76,15.7,MH,1690058646
283,borogontsy,62.6683,131.1683,60.33,73,80,6.98,RU,1690058646
284,hitoyoshi,32.2167,130.75,72.97,97,86,2.8,JP,1690058647
285,gamboma,-1.8764,15.8644,81.37,56,83,3.56,CG,1690058647
286,hamilton,39.1834,-84.5333,84.88,48,0,8.05,US,1690058364
287,kavaratti,10.5669,72.642,82.69,82,100,21.25,IN,1690058648
288,hermansverk,61.1846,6.8502,55.85,87,20,2.3,NO,1690058649
289,papao,-17.75,-149.55,78.48,66,59,10.4,PF,1690058575
290,iskateley,67.6803,53.1512,50.99,95,100,13.82,RU,1690058650
291,dehdasht,30.7949,50.5646,89.49,10,40,2.13,IR,1690058506
292,williamson,30.6502,-97.6003,106.48,37,20,5.75,US,1690058651
293,puerto baquerizo moreno,-0.9,-89.6,81.59,69,20,11.5,EC,1690058651
294,san jose de jachal,-30.2406,-68.7469,70.12,20,60,9.42,AR,1690058652
295,nyrob,60.733,56.7202,57.06,85,100,3.4,RU,1690058652
296,pemba,-12.974,40.5178,75.9,83,75,13.8,MZ,1690058653
297,guiuan,11.0333,125.7247,81.36,80,100,24.76,PH,1690058654
298,whitecourt,54.1502,-115.6855,78.04,53,20,6.91,CA,1690058655
299,swakopmund,-22.6833,14.5333,53.98,86,31,3.87,NA,1690058656
300,poletayevo,55.0336,61.1138,62.42,93,98,8.39,RU,1690058657
301,avila,40.5833,-5.0,66.0,29,0,5.28,ES,1690058657
302,tazovsky,67.4667,78.7,56.12,98,69,6.53,RU,1690058658
303,vredendal,-31.6683,18.5012,46.62,66,0,2.17,ZA,1690058658
304,saint-francois,46.4154,3.9054,67.68,56,0,2.3,FR,1690058659
305,port mathurin,-19.6833,63.4167,73.81,69,0,22.64,MU,1690058659
306,callao,-12.0667,-77.15,73.72,68,100,13.8,PE,1690058623
307,taguatinga,-12.3857,-46.5711,82.22,33,24,3.36,BR,1690058660
308,derzhavinsk,51.1,66.3167,74.23,33,99,11.32,KZ,1690058481
309,hasaki,35.7333,140.8333,73.31,81,86,5.12,JP,1690058662
310,colesberg,-30.72,25.0972,51.98,57,100,6.96,ZA,1690058662
311,huarmey,-10.0681,-78.1522,71.71,72,11,10.29,PE,1690058607
312,fortuna,40.5982,-124.1573,70.93,73,0,16.11,US,1690058664
313,mahajanga,-15.7167,46.3167,75.22,57,20,2.3,MG,1690058664
314,ebaye,8.7748,167.7392,82.42,89,0,14.97,MH,1690058665
315,ballina,-28.8667,153.5667,45.79,83,24,10.04,AU,1690058665
316,agadez,19.75,10.25,94.57,21,14,6.35,NE,1690058666
317,kotlas,61.2611,46.6556,55.35,94,100,9.91,RU,1690058666
318,khorugh,37.4897,71.553,68.18,37,0,3.8,TJ,1690058667
319,savanna-la-mar,18.219,-78.1332,89.55,76,72,3.47,JM,1690058667
320,tsengel,49.4783,100.8894,52.86,88,63,1.03,MN,1690058668
321,sisimiut,66.9395,-53.6735,43.77,96,100,11.1,GL,1690058579
322,las heras,-46.5419,-68.9359,35.26,68,97,3.2,AR,1690058669
323,mabaruma,8.2,-59.7833,83.35,72,69,6.22,GY,1690058669
324,oamaru,-45.0784,170.9801,49.37,95,100,15.48,NZ,1690058670
325,funafuti,-8.5243,179.1942,84.2,84,75,0.0,TV,1690058670
326,nadi,-17.8,177.4167,68.0,83,20,8.05,FJ,1690058671
327,muroto-misakicho,33.2833,134.15,78.64,87,3,5.48,JP,1690058672
328,ha'il,27.5219,41.6907,91.42,13,0,4.61,SA,1690058638
329,vilyuchinsk,52.9306,158.4028,61.07,74,96,6.53,RU,1690058585
330,antofagasta,-23.65,-70.4,65.48,75,69,10.18,CL,1690058673
331,hotan,37.0997,79.9269,86.31,21,100,5.23,CN,1690058674
332,pachino,36.7186,15.0907,85.46,55,5,6.33,IT,1690058674
333,tangalle,6.024,80.7911,78.67,87,98,11.59,LK,1690058675
334,newman,37.3138,-121.0208,100.74,6,10,1.92,US,1690058675
335,rio grande,-32.035,-52.0986,80.71,88,87,10.56,BR,1690058676
336,mount isa,-20.7333,139.5,49.77,50,0,14.97,AU,1690058676
337,nova olinda do norte,-3.8881,-59.0942,91.42,37,44,3.69,BR,1690058677
338,bel ombre,-4.6167,55.4167,78.64,78,20,8.05,SC,1690058677
339,iquitos,-3.7481,-73.2472,89.64,62,40,5.75,PE,1690058414
340,kapuskasing,49.4169,-82.4331,78.8,34,40,4.61,CA,1690058606
341,al bardiyah,31.7561,25.0865,80.8,81,0,15.64,LY,1690058678
342,saipan,15.1355,145.701,81.3,100,75,10.36,MP,1690058679
343,yatou,37.15,122.3833,74.26,94,1,2.46,CN,1690058679
344,tavda,58.0425,65.2726,56.73,95,32,4.54,RU,1690058680
345,nevel',56.0209,29.9284,55.2,96,100,3.62,RU,1690058680
346,goronyo,13.4423,5.6763,90.9,43,57,4.03,NG,1690058681
347,ar rass,25.8694,43.4973,89.94,10,100,8.5,SA,1690058681
348,anjiang,27.3194,110.1031,76.57,98,100,4.14,CN,1690058682
349,firmat,-33.4594,-61.4832,66.09,68,100,18.28,AR,1690058682
350,kolonia town,6.964,158.206,78.8,89,100,4.61,FM,1690058683
351,boaco,12.4722,-85.6586,82.56,76,75,11.18,NI,1690058683
352,tromso,69.6496,18.957,59.38,72,75,2.3,NO,1690058511
353,el porvenir,13.7617,-87.3458,81.73,46,99,5.66,HN,1690058685
354,wanning,18.8003,110.3967,79.9,85,10,1.77,CN,1690058685
355,badiyah,22.45,58.8,89.92,46,100,0.87,OM,1690058686
356,port douglas,-16.4833,145.4667,68.27,78,2,3.22,AU,1690058449
357,melekeok village,7.4957,134.6367,77.56,94,75,0.0,PW,1690058687
358,pacific grove,36.6177,-121.9166,83.39,82,20,9.22,US,1690058576
